A_id	B_id	label	select	user_id
1	5	anger	A	1225173718
9	8	anger	B	1225173718
5	3	anger	B	1225173718
6	4	anger	A	1225173718
2	8	anger	A	1225173718
7	4	anger	B	1225173718
4	2	anger	B	1225173718
8	6	anger	B	1225173718
4	1	anger	A	1225173718
7	1	anger	B	1225173718
5	6	anger	B	1225173718
8	4	anger	B	1225173718
2	4	anger	A	1225173718
9	1	anger	B	1225173718
4	3	anger	B	1225173718
8	1	anger	B	1227255277
2	8	anger	A	1227255277
1	4	anger	B	1227255277
1	4	anger	B	1227255277
3	9	anger	A	1227255277
6	7	anger	A	1227255277
2	4	anger	A	1227255277
9	5	anger	B	1227255277
5	9	anger	A	1227255277
3	2	anger	B	1227255277
8	5	anger	A	1227255277
4	7	anger	A	1227255277
8	9	anger	B	1227255277
9	4	anger	B	1227255277
7	9	anger	A	1227255277
9	8	anger	B	1227785840
7	6	anger	B	1227785840
1	6	anger	B	1227785840
5	9	anger	A	1227785840
6	9	anger	A	1227785840
9	3	anger	B	1227785840
7	2	anger	B	1227785840
8	3	anger	B	1227785840
6	2	anger	B	1227785840
5	2	anger	B	1227785840
7	6	anger	B	1227785840
5	7	anger	B	1227785840
9	5	anger	B	1227785840
1	8	anger	A	1227785840
9	1	anger	B	1227785840
2	7	anger	A	1226804054
7	3	anger	B	1226804054
8	2	anger	B	1226804054
1	6	anger	A	1226804054
4	1	anger	B	1226804054
9	8	anger	B	1226804054
4	5	anger	A	1226804054
3	6	anger	B	1226804054
1	9	anger	A	1226804054
4	2	anger	B	1226804054
5	1	anger	B	1226804054
9	2	anger	B	1226804054
6	5	anger	A	1226804054
5	3	anger	B	1226804054
7	8	anger	B	1226804054
8	4	anger	A	1225877938
6	2	anger	B	1225877938
1	4	anger	B	1225877938
7	3	anger	A	1225877938
5	9	anger	B	1225877938
7	2	anger	B	1225877938
3	2	anger	B	1225877938
2	9	anger	B	1225877938
5	3	anger	A	1225877938
8	4	anger	A	1225877938
8	2	anger	B	1225877938
9	2	anger	B	1225877938
9	4	anger	A	1225877938
1	2	anger	B	1225877938
6	9	anger	B	1225877938
7	2	anger	B	1225417189
1	8	anger	A	1225417189
9	1	anger	B	1225417189
8	7	anger	A	1225417189
7	2	anger	B	1225417189
9	2	anger	B	1225417189
9	3	anger	B	1225417189
1	4	anger	A	1225417189
2	7	anger	A	1225417189
