font_id	Ang	Disg	Fear	Surp	Happy	Sad	Neutral
1	0	4	0	6	11	1	18
2	2	1	2	7	3	1	24
3	3	6	1	2	1	14	13
4	4	5	2	11	2	1	15
5	5	16	2	6	0	0	11
6	1	1	2	2	4	2	28
7	4	3	2	1	6	10	14
8	3	4	0	0	9	1	23
9	0	2	3	3	3	2	27
10	4	8	1	6	3	2	16
11	2	4	0	8	12	2	12
12	1	2	2	3	7	7	18
13	1	5	1	5	3	7	18
14	2	2	5	3	6	1	21
15	1	3	1	0	10	5	20
16	1	1	0	2	7	1	28
17	7	5	4	8	2	1	13
18	0	2	0	1	5	11	21
19	1	2	0	4	15	0	18
20	0	0	1	1	6	0	32
21	0	0	0	0	11	7	22
22	2	8	10	5	1	3	11
23	1	3	2	6	4	1	23
24	2	0	0	3	5	1	29
25	1	1	1	8	5	0	24
26	0	0	1	0	7	8	24
27	0	0	0	3	5	0	32
28	1	7	3	6	5	2	16
29	9	12	8	5	0	2	4
30	0	0	0	0	9	1	30
31	0	0	2	3	2	2	31
32	0	0	0	2	18	6	14
33	1	7	0	14	3	0	15
34	0	0	2	1	20	3	14
35	1	1	0	3	4	0	31
36	1	3	1	1	8	7	19
37	3	2	5	4	3	1	22
38	0	3	11	5	2	3	16
39	1	3	0	0	6	6	24
40	1	1	1	1	10	0	26
41	0	4	1	6	6	2	21
42	1	12	8	2	0	6	11
43	0	0	2	1	3	0	34
44	0	5	0	5	2	2	26
45	2	0	1	0	9	0	28
46	1	2	1	4	14	1	17
47	0	0	0	1	8	2	29
48	1	3	1	2	9	2	22
49	0	3	0	4	9	1	23
50	2	2	2	4	5	2	23
51	7	9	3	10	5	0	6
52	1	1	5	5	3	2	23
53	4	10	4	3	2	2	15
54	0	2	3	4	5	7	19
55	3	7	1	13	3	2	11
56	3	1	2	8	2	1	23
57	1	2	1	0	1	1	34
58	2	3	8	4	6	3	14
59	1	0	0	0	8	0	31
60	4	10	2	10	0	1	13
61	0	4	1	2	6	0	27
62	1	0	3	1	10	11	14
63	0	2	0	6	8	4	20
64	1	9	7	4	0	2	17
65	0	3	1	3	4	11	18
66	2	2	1	7	7	1	20
67	0	3	2	3	7	4	21
68	0	1	2	2	7	0	28
69	3	11	6	3	1	4	12
70	0	2	1	5	6	1	25
71	4	8	2	11	0	0	15
72	2	1	1	1	3	0	32
73	0	1	1	0	9	0	29
74	6	7	3	9	3	0	12
75	1	1	0	1	1	1	35
76	1	3	3	2	9	6	16
77	0	2	1	1	5	3	28
78	1	0	2	3	4	6	24
79	4	11	3	1	0	4	17
80	1	1	1	3	1	4	29
81	1	1	0	2	5	0	31
82	0	0	1	2	13	2	22
83	0	7	3	6	0	3	21
84	5	5	1	8	3	1	17
85	1	2	0	1	15	9	12
86	0	0	1	2	4	1	32
87	2	3	2	3	3	4	23
88	0	1	0	1	12	9	17
89	1	0	2	0	4	1	32
90	1	4	2	11	4	2	16
91	0	3	0	1	6	2	28
92	0	0	2	0	10	1	27
93	1	2	1	2	6	1	27
94	0	1	0	3	9	2	25
95	4	5	8	6	0	0	17
96	0	2	0	1	4	0	33
97	2	2	4	9	3	1	19
98	0	1	1	0	8	5	25
99	2	0	0	1	5	0	32
100	1	2	0	2	3	11	21
