font_id	valence	arousal
1	5	5
1	5	6
1	4	6
1	5	7
1	6	8
1	5	5
1	4	6
1	5	5
1	2	6
1	5	5
1	5	4
1	3	3
1	4	4
1	5	5
1	3	5
1	6	5
1	4	4
1	5	5
1	5	5
1	2	5
1	5	1
1	4	6
1	3	5
1	5	5
1	9	1
1	3	3
1	3	6
1	4	6
1	5	5
1	4	6
1	7	7
1	3	4
1	5	6
1	8	6
1	5	5
1	4	6
1	3	6
1	3	7
1	5	4
1	6	2
2	6	4
2	4	7
2	5	6
2	3	7
2	8	2
2	5	5
2	5	5
2	5	6
2	4	7
2	5	6
2	5	5
2	2	1
2	3	5
2	5	5
2	4	5
2	4	4
2	4	5
2	5	5
2	5	5
2	4	5
2	5	1
2	2	5
2	4	5
2	5	5
2	7	6
2	5	6
2	4	4
2	5	6
2	5	7
2	4	7
2	6	6
2	6	6
2	5	5
2	8	1
2	6	5
2	5	4
2	5	6
2	3	5
2	5	6
2	6	1
3	6	3
3	3	3
3	2	2
3	5	2
3	2	1
3	5	5
3	4	4
3	3	5
3	1	5
3	3	5
3	3	3
3	2	6
3	5	3
3	5	5
3	2	5
3	3	2
3	5	5
3	2	2
3	5	5
3	2	5
3	5	1
3	4	2
3	3	5
3	5	5
3	3	3
3	3	3
3	2	2
3	4	6
3	3	4
3	1	5
3	2	2
3	4	3
3	4	4
3	8	1
3	3	6
3	4	5
3	1	8
3	3	2
3	5	2
3	6	5
4	6	7
4	6	9
4	6	6
4	5	7
4	1	9
4	4	5
4	3	7
4	5	5
4	1	8
4	2	5
4	2	3
4	2	2
4	3	5
4	4	5
4	2	5
4	5	6
4	8	9
4	2	2
4	5	5
4	1	5
4	5	1
4	2	7
4	3	6
4	4	4
4	9	9
4	3	6
4	2	4
4	4	6
4	3	6
4	1	8
4	3	3
4	3	5
4	4	6
4	8	8
4	4	6
4	3	3
4	5	6
4	3	3
4	4	5
4	5	5
5	6	6
5	5	9
5	2	2
5	3	7
5	2	9
5	4	5
5	3	6
5	3	5
5	2	7
5	3	6
5	2	3
5	2	2
5	3	5
5	5	5
5	1	5
5	2	2
5	2	1
5	1	1
5	3	5
5	1	5
5	5	1
5	1	6
5	2	7
5	1	2
5	3	9
5	3	5
5	2	4
5	5	7
5	2	4
5	2	9
5	3	3
5	2	5
5	4	6
5	7	1
5	4	7
5	3	4
5	1	5
5	2	6
5	3	6
5	4	6
6	5	6
6	5	7
6	5	5
6	7	5
6	9	1
6	5	5
6	7	5
6	5	5
6	4	6
6	4	4
6	6	5
6	1	7
6	5	5
6	5	5
6	5	5
6	4	4
6	4	4
6	3	3
6	5	5
6	6	5
6	5	1
6	3	5
6	3	5
6	5	5
6	7	8
6	7	6
6	4	5
6	5	6
6	6	7
6	4	6
6	6	6
6	5	5
6	6	7
6	8	1
6	4	4
6	4	4
6	5	7
6	5	5
6	5	5
6	7	2
7	6	1
7	1	3
7	5	4
7	5	8
7	5	3
7	5	5
7	5	4
7	5	2
7	4	6
7	3	6
7	4	5
7	2	1
7	5	3
7	6	5
7	2	5
7	2	4
7	4	4
7	2	4
7	5	5
7	1	5
7	5	1
7	5	4
7	4	5
7	3	3
7	4	7
7	6	3
7	6	7
7	4	6
7	1	4
7	4	3
7	8	7
7	3	2
7	4	5
7	7	2
7	4	4
7	3	6
7	2	7
7	2	3
7	9	2
7	6	3
8	3	6
8	4	6
8	4	4
8	3	5
8	8	1
8	5	5
8	4	4
8	5	5
8	4	6
8	3	3
8	5	5
8	4	2
8	5	5
8	5	5
8	3	5
8	5	5
8	4	4
8	2	3
8	5	5
8	5	5
8	5	1
8	3	7
8	4	5
8	5	5
8	2	5
8	6	4
8	5	5
8	5	6
8	7	7
8	4	6
8	3	3
8	7	7
8	7	7
8	6	1
8	5	5
8	4	4
8	5	5
8	4	3
8	5	5
8	7	3
9	5	3
9	3	5
9	4	5
9	7	4
9	8	1
9	5	5
9	4	6
9	3	4
9	3	5
9	5	5
9	5	5
9	4	3
9	5	6
9	5	5
9	4	5
9	4	3
9	3	4
9	3	3
9	5	5
9	2	5
9	5	1
9	3	6
9	3	5
9	5	5
9	7	5
9	4	6
9	4	4
9	4	4
9	5	5
9	3	7
9	3	3
9	9	7
9	5	5
9	8	8
9	5	5
9	4	6
9	5	5
9	4	6
9	4	5
9	8	1
10	6	6
10	3	2
10	3	3
10	3	8
10	7	9
10	4	5
10	3	6
10	5	5
10	2	7
10	2	4
10	4	5
10	2	2
10	5	5
10	5	5
10	2	5
10	2	4
10	4	3
10	1	1
10	4	5
10	2	5
10	5	1
10	2	8
10	3	5
10	5	5
10	4	7
10	3	6
10	2	6
10	4	7
10	4	4
10	2	7
10	3	3
10	3	7
10	4	6
10	7	7
10	3	5
10	4	4
10	5	3
10	3	6
10	2	5
10	6	5
11	7	9
11	4	5
11	5	7
11	4	5
11	6	8
11	4	5
11	4	6
11	6	3
11	2	6
11	4	7
11	5	5
11	3	3
11	4	5
11	5	5
11	2	5
11	5	6
11	5	3
11	1	1
11	3	5
11	1	5
11	5	1
11	3	7
11	4	5
11	6	6
11	2	7
11	3	4
11	5	6
11	4	7
11	5	6
11	3	7
11	7	7
11	6	7
11	4	5
11	8	8
11	5	6
11	4	5
11	3	5
11	5	6
11	6	3
11	6	5
12	7	7
12	5	7
12	4	4
12	6	4
12	7	3
12	5	5
12	5	5
12	5	5
12	4	6
12	3	7
12	6	6
12	3	2
12	5	3
12	6	5
12	3	5
12	4	3
12	4	1
12	1	1
12	5	5
12	1	5
12	5	1
12	6	6
12	4	5
12	4	5
12	4	6
12	6	3
12	6	6
12	3	7
12	3	3
12	5	3
12	7	7
12	3	4
12	5	5
12	8	8
12	6	5
12	4	5
12	5	3
12	4	6
12	6	6
12	6	5
13	6	4
13	5	3
13	4	6
13	4	4
13	7	3
13	4	5
13	4	4
13	5	5
13	3	5
13	4	6
13	4	4
13	2	6
13	5	5
13	5	5
13	1	5
13	4	5
13	3	4
13	1	2
13	5	5
13	2	5
13	5	1
13	5	7
13	3	5
13	5	5
13	2	6
13	3	3
13	5	3
13	4	5
13	4	6
13	3	6
13	3	2
13	2	3
13	5	4
13	8	2
13	5	5
13	5	6
13	1	5
13	4	4
13	5	3
13	5	5
14	5	5
14	7	6
14	5	4
14	6	4
14	5	5
14	5	5
14	6	6
14	5	5
14	5	5
14	5	5
14	5	5
14	2	2
14	5	5
14	5	5
14	5	5
14	4	3
14	3	4
14	1	1
14	5	5
14	6	5
14	5	1
14	4	6
14	4	5
14	5	5
14	2	6
14	6	4
14	4	5
14	4	5
14	5	6
14	5	6
14	7	7
14	3	5
14	5	6
14	8	7
14	6	6
14	3	3
14	4	5
14	6	3
14	5	5
14	7	3
15	5	3
15	3	2
15	4	2
15	7	3
15	7	6
15	5	5
15	8	3
15	5	5
15	4	4
15	4	3
15	3	3
15	3	3
15	5	3
15	4	5
15	3	5
15	3	5
15	3	5
15	2	2
15	5	5
15	6	5
15	5	1
15	7	7
15	4	5
15	6	6
15	5	6
15	4	5
15	6	4
15	5	3
